mapping_key,country,iso3,year,cpi_score,cpi_score_cat,cpi_score_cat2,country_label
AUSTRIA-2018,AUSTRIA,AUT,2018,76.0,80.0,9.0,0
AUSTRIA-2019,AUSTRIA,AUT,2019,77.0,80.0,9.0,0
AUSTRIA-2020,AUSTRIA,AUT,2020,76.0,80.0,9.0,0
AUSTRIA-2021,AUSTRIA,AUT,2021,74.0,70.0,8.0,0
BELGIUM-2018,BELGIUM,BEL,2018,75.0,80.0,9.0,1
BELGIUM-2019,BELGIUM,BEL,2019,75.0,80.0,9.0,1
BELGIUM-2020,BELGIUM,BEL,2020,76.0,80.0,9.0,1
BELGIUM-2021,BELGIUM,BEL,2021,76.0,80.0,9.0,1
BULGARIA-2018,BULGARIA,BGR,2018,42.0,40.0,5.0,2
BULGARIA-2019,BULGARIA,BGR,2019,43.0,40.0,5.0,2
BULGARIA-2020,BULGARIA,BGR,2020,44.0,40.0,5.0,2
BULGARIA-2021,BULGARIA,BGR,2021,42.0,40.0,5.0,2
CROATIA-2018,CROATIA,HRV,2018,48.0,50.0,6.0,3
CROATIA-2019,CROATIA,HRV,2019,47.0,50.0,6.0,3
CROATIA-2020,CROATIA,HRV,2020,47.0,50.0,6.0,3
CROATIA-2021,CROATIA,HRV,2021,48.0,50.0,6.0,3
CYPRUS-2018,CYPRUS,CYP,2018,59.0,60.0,7.0,4
CYPRUS-2019,CYPRUS,CYP,2019,58.0,60.0,7.0,4
CYPRUS-2020,CYPRUS,CYP,2020,57.0,60.0,7.0,4
CYPRUS-2021,CYPRUS,CYP,2021,60.0,60.0,7.0,4
CZECHREPUBLIC-2018,CZECH REPUBLIC,CZE,2018,59.0,60.0,7.0,5
CZECHREPUBLIC-2019,CZECH REPUBLIC,CZE,2019,56.0,60.0,7.0,5
CZECHREPUBLIC-2020,CZECH REPUBLIC,CZE,2020,54.0,50.0,7.0,5
CZECHREPUBLIC-2021,CZECH REPUBLIC,CZE,2021,54.0,50.0,7.0,5
DENMARK-2018,DENMARK,DNK,2018,88.0,90.0,9.0,6
DENMARK-2019,DENMARK,DNK,2019,87.0,90.0,9.0,6
DENMARK-2020,DENMARK,DNK,2020,88.0,90.0,9.0,6
DENMARK-2021,DENMARK,DNK,2021,89.0,90.0,9.0,6
ESTONIA-2018,ESTONIA,EST,2018,73.0,70.0,8.0,7
ESTONIA-2019,ESTONIA,EST,2019,74.0,70.0,8.0,7
ESTONIA-2020,ESTONIA,EST,2020,75.0,80.0,9.0,7
ESTONIA-2021,ESTONIA,EST,2021,70.0,70.0,8.0,7
FINLAND-2018,FINLAND,FIN,2018,85.0,80.0,9.0,8
FINLAND-2019,FINLAND,FIN,2019,86.0,90.0,9.0,8
FINLAND-2020,FINLAND,FIN,2020,85.0,80.0,9.0,8
FINLAND-2021,FINLAND,FIN,2021,88.0,90.0,9.0,8
FRANCE-2018,FRANCE,FRA,2018,72.0,70.0,8.0,9
FRANCE-2019,FRANCE,FRA,2019,69.0,70.0,8.0,9
FRANCE-2020,FRANCE,FRA,2020,69.0,70.0,8.0,9
FRANCE-2021,FRANCE,FRA,2021,70.0,70.0,8.0,9
GERMANY-2018,GERMANY,DEU,2018,80.0,80.0,9.0,10
GERMANY-2019,GERMANY,DEU,2019,80.0,80.0,9.0,10
GERMANY-2020,GERMANY,DEU,2020,80.0,80.0,9.0,10
GERMANY-2021,GERMANY,DEU,2021,80.0,80.0,9.0,10
GREECE-2018,GREECE,GRC,2018,45.0,40.0,6.0,11
GREECE-2019,GREECE,GRC,2019,48.0,50.0,6.0,11
GREECE-2020,GREECE,GRC,2020,50.0,50.0,6.0,11
GREECE-2021,GREECE,GRC,2021,44.0,40.0,5.0,11
HUNGARY-2018,HUNGARY,HUN,2018,46.0,50.0,6.0,12
HUNGARY-2019,HUNGARY,HUN,2019,44.0,40.0,5.0,12
HUNGARY-2020,HUNGARY,HUN,2020,44.0,40.0,5.0,12
HUNGARY-2021,HUNGARY,HUN,2021,49.0,50.0,6.0,12
ICELAND-2018,ICELAND,ISL,2018,76.0,80.0,9.0,13
ICELAND-2019,ICELAND,ISL,2019,78.0,80.0,9.0,13
ICELAND-2020,ICELAND,ISL,2020,75.0,80.0,9.0,13
ICELAND-2021,ICELAND,ISL,2021,78.0,80.0,9.0,13
IRELAND-2018,IRELAND,IRL,2018,73.0,70.0,8.0,14
IRELAND-2019,IRELAND,IRL,2019,74.0,70.0,8.0,14
IRELAND-2020,IRELAND,IRL,2020,72.0,70.0,8.0,14
IRELAND-2021,IRELAND,IRL,2021,73.0,70.0,8.0,14
ITALY-2018,ITALY,ITA,2018,52.0,50.0,6.0,16
ITALY-2019,ITALY,ITA,2019,53.0,50.0,7.0,16
ITALY-2020,ITALY,ITA,2020,53.0,50.0,7.0,16
ITALY-2021,ITALY,ITA,2021,47.0,50.0,6.0,16
LATVIA-2018,LATVIA,LVA,2018,58.0,60.0,7.0,17
LATVIA-2019,LATVIA,LVA,2019,56.0,60.0,7.0,17
LATVIA-2020,LATVIA,LVA,2020,57.0,60.0,7.0,17
LATVIA-2021,LATVIA,LVA,2021,55.0,60.0,7.0,17
LITHUANIA-2018,LITHUANIA,LTU,2018,59.0,60.0,7.0,19
LITHUANIA-2019,LITHUANIA,LTU,2019,60.0,60.0,7.0,19
LITHUANIA-2020,LITHUANIA,LTU,2020,60.0,60.0,7.0,19
LITHUANIA-2021,LITHUANIA,LTU,2021,58.0,60.0,7.0,19
LUXEMBOURG-2018,LUXEMBOURG,LUX,2018,81.0,80.0,9.0,20
LUXEMBOURG-2019,LUXEMBOURG,LUX,2019,80.0,80.0,9.0,20
LUXEMBOURG-2020,LUXEMBOURG,LUX,2020,80.0,80.0,9.0,20
LUXEMBOURG-2021,LUXEMBOURG,LUX,2021,81.0,80.0,9.0,20
MALTA-2018,MALTA,MLT,2018,54.0,50.0,7.0,21
MALTA-2019,MALTA,MLT,2019,54.0,50.0,7.0,21
MALTA-2020,MALTA,MLT,2020,53.0,50.0,7.0,21
MALTA-2021,MALTA,MLT,2021,56.0,60.0,7.0,21
THENETHERLANDS-2018,THE NETHERLANDS,NLD,2018,82.0,80.0,9.0,29
THENETHERLANDS-2019,THE NETHERLANDS,NLD,2019,82.0,80.0,9.0,29
THENETHERLANDS-2020,THE NETHERLANDS,NLD,2020,82.0,80.0,9.0,29
THENETHERLANDS-2021,THE NETHERLANDS,NLD,2021,83.0,80.0,9.0,29
NORWAY-2018,NORWAY,NOR,2018,84.0,80.0,9.0,22
NORWAY-2019,NORWAY,NOR,2019,84.0,80.0,9.0,22
NORWAY-2020,NORWAY,NOR,2020,84.0,80.0,9.0,22
NORWAY-2021,NORWAY,NOR,2021,85.0,80.0,9.0,22
POLAND-2018,POLAND,POL,2018,60.0,60.0,7.0,23
POLAND-2019,POLAND,POL,2019,58.0,60.0,7.0,23
POLAND-2020,POLAND,POL,2020,56.0,60.0,7.0,23
POLAND-2021,POLAND,POL,2021,60.0,60.0,7.0,23
PORTUGAL-2018,PORTUGAL,PRT,2018,64.0,60.0,8.0,24
PORTUGAL-2019,PORTUGAL,PRT,2019,62.0,60.0,8.0,24
PORTUGAL-2020,PORTUGAL,PRT,2020,61.0,60.0,8.0,24
PORTUGAL-2021,PORTUGAL,PRT,2021,63.0,60.0,8.0,24
ROMANIA-2018,ROMANIA,ROU,2018,47.0,50.0,6.0,25
ROMANIA-2019,ROMANIA,ROU,2019,44.0,40.0,5.0,25
ROMANIA-2020,ROMANIA,ROU,2020,44.0,40.0,5.0,25
ROMANIA-2021,ROMANIA,ROU,2021,45.0,40.0,6.0,25
SLOVAKIA-2018,SLOVAKIA,SVK,2018,50.0,50.0,6.0,26
SLOVAKIA-2019,SLOVAKIA,SVK,2019,50.0,50.0,6.0,26
SLOVAKIA-2020,SLOVAKIA,SVK,2020,49.0,50.0,6.0,26
SLOVAKIA-2021,SLOVAKIA,SVK,2021,49.0,50.0,6.0,26
SPAIN-2018,SPAIN,ESP,2018,58.0,60.0,7.0,27
SPAIN-2019,SPAIN,ESP,2019,62.0,60.0,8.0,27
SPAIN-2020,SPAIN,ESP,2020,62.0,60.0,8.0,27
SPAIN-2021,SPAIN,ESP,2021,60.0,60.0,7.0,27
SWEDEN-2018,SWEDEN,SWE,2018,85.0,80.0,9.0,28
SWEDEN-2019,SWEDEN,SWE,2019,85.0,80.0,9.0,28
SWEDEN-2020,SWEDEN,SWE,2020,85.0,80.0,9.0,28
SWEDEN-2021,SWEDEN,SWE,2021,87.0,90.0,9.0,28
UNITEDKINGDOM-2018,UNITED KINGDOM,GBR,2018,80.0,80.0,9.0,30
UNITEDKINGDOM-2019,UNITED KINGDOM,GBR,2019,77.0,80.0,9.0,30
UNITEDKINGDOM-2020,UNITED KINGDOM,GBR,2020,77.0,80.0,9.0,30
UNITEDKINGDOM-2021,UNITED KINGDOM,GBR,2021,78.0,80.0,9.0,30
ISLEOFMAN-2021,ISLE OF MAN,IMN,2021,,,,15
ISLEOFMAN-2020,ISLE OF MAN,IMN,2020,,,,15
ISLEOFMAN-2019,ISLE OF MAN,IMN,2019,,,,15
ISLEOFMAN-2018,ISLE OF MAN,IMN,2018,,,,15
LIECHTENSTEIN-2021,LIECHTENSTEIN,LIE,2021,,,,18
LIECHTENSTEIN-2020,LIECHTENSTEIN,LIE,2020,,,,18
LIECHTENSTEIN-2019,LIECHTENSTEIN,LIE,2019,,,,18
LIECHTENSTEIN-2018,LIECHTENSTEIN,LIE,2018,,,,18
