mapping_key,country,year,gdp,gdp_cat,gdp_cat2,country_label
AUSTRIA-2018,AUSTRIA,2018,454872626780.0,450000000000.0,7.0,0
AUSTRIA-2019,AUSTRIA,2019,445075391688.0,450000000000.0,7.0,0
AUSTRIA-2020,AUSTRIA,2020,430947393758.0,430000000000.0,7.0,0
AUSTRIA-2021,AUSTRIA,2021,422886552615.0,420000000000.0,7.0,0
BELGIUM-2018,BELGIUM,2018,543410654017.0,540000000000.0,7.0,1
BELGIUM-2019,BELGIUM,2019,533254518108.0,530000000000.0,7.0,1
BELGIUM-2020,BELGIUM,2020,515332499628.0,520000000000.0,7.0,1
BELGIUM-2021,BELGIUM,2021,509323539857.0,510000000000.0,7.0,1
BULGARIA-2018,BULGARIA,2018,66230155100.0,70000000000.0,5.0,2
BULGARIA-2019,BULGARIA,2019,68558815112.0,70000000000.0,5.0,2
BULGARIA-2020,BULGARIA,2020,69105101090.0,70000000000.0,5.0,2
BULGARIA-2021,BULGARIA,2021,59318952492.0,60000000000.0,4.0,2
CROATIA-2018,CROATIA,2018,61375222347.0,60000000000.0,5.0,3
CROATIA-2019,CROATIA,2019,60752588976.0,60000000000.0,4.0,3
CROATIA-2020,CROATIA,2020,55966581780.0,60000000000.0,4.0,3
CROATIA-2021,CROATIA,2021,56346378915.0,60000000000.0,4.0,3
CYPRUS-2018,CYPRUS,2018,25309818139.0,30000000000.0,3.0,4
CYPRUS-2019,CYPRUS,2019,24949065264.0,20000000000.0,3.0,4
CYPRUS-2020,CYPRUS,2020,23804340377.0,20000000000.0,3.0,4
CYPRUS-2021,CYPRUS,2021,23291610118.0,20000000000.0,3.0,4
CZECHREPUBLIC-2018,CZECH REPUBLIC,2018,248950103352.0,250000000000.0,6.0,5
CZECHREPUBLIC-2019,CZECH REPUBLIC,2019,252498032247.0,250000000000.0,6.0,5
CZECHREPUBLIC-2020,CZECH REPUBLIC,2020,245349489988.0,250000000000.0,6.0,5
CZECHREPUBLIC-2021,CZECH REPUBLIC,2021,219959317294.0,220000000000.0,6.0,5
DENMARK-2018,DENMARK,2018,356841216410.0,360000000000.0,6.0,6
DENMARK-2019,DENMARK,2019,347561349211.0,350000000000.0,6.0,6
DENMARK-2020,DENMARK,2020,356084867686.0,360000000000.0,6.0,6
DENMARK-2021,DENMARK,2021,336902718261.0,340000000000.0,6.0,6
ESTONIA-2018,ESTONIA,2018,30474612057.0,30000000000.0,4.0,7
ESTONIA-2019,ESTONIA,2019,31045591753.0,30000000000.0,4.0,7
ESTONIA-2020,ESTONIA,2020,30650285472.0,30000000000.0,4.0,7
ESTONIA-2021,ESTONIA,2021,26743795069.0,30000000000.0,3.0,7
FINLAND-2018,FINLAND,2018,275580448365.0,280000000000.0,6.0,8
FINLAND-2019,FINLAND,2019,268782471380.0,270000000000.0,6.0,8
FINLAND-2020,FINLAND,2020,269751312854.0,270000000000.0,6.0,8
FINLAND-2021,FINLAND,2021,260918453799.0,260000000000.0,6.0,8
FRANCE-2018,FRANCE,2018,2789593979065.0,2790000000000.0,8.0,9
FRANCE-2019,FRANCE,2019,2728870246706.0,2730000000000.0,8.0,9
FRANCE-2020,FRANCE,2020,2630317731455.0,2630000000000.0,8.0,9
FRANCE-2021,FRANCE,2021,2666009452625.0,2670000000000.0,8.0,9
GERMANY-2018,GERMANY,2018,3975347237443.0,3980000000000.0,8.0,10
GERMANY-2019,GERMANY,2019,3888326788627.0,3890000000000.0,8.0,10
GERMANY-2020,GERMANY,2020,3846413928654.0,3850000000000.0,8.0,10
GERMANY-2021,GERMANY,2021,3706618087819.0,3710000000000.0,8.0,10
GREECE-2018,GREECE,2018,212146107549.0,210000000000.0,6.0,11
GREECE-2019,GREECE,2019,205326724570.0,210000000000.0,6.0,11
GREECE-2020,GREECE,2020,189410106620.0,190000000000.0,6.0,11
GREECE-2021,GREECE,2021,212266363527.0,210000000000.0,6.0,11
HUNGARY-2018,HUNGARY,2018,160431092909.0,160000000000.0,5.0,12
HUNGARY-2019,HUNGARY,2019,163503650313.0,160000000000.0,5.0,12
HUNGARY-2020,HUNGARY,2020,155012927629.0,160000000000.0,5.0,12
HUNGARY-2021,HUNGARY,2021,142234034772.0,140000000000.0,5.0,12
ICELAND-2018,ICELAND,2018,26267063758.0,30000000000.0,3.0,13
ICELAND-2019,ICELAND,2019,24857740445.0,20000000000.0,3.0,13
ICELAND-2020,ICELAND,2020,21718075725.0,20000000000.0,3.0,13
ICELAND-2021,ICELAND,2021,20513974942.0,20000000000.0,3.0,13
IRELAND-2018,IRELAND,2018,384853685231.0,380000000000.0,6.0,14
IRELAND-2019,IRELAND,2019,399122063504.0,400000000000.0,6.0,14
IRELAND-2020,IRELAND,2020,425888950992.0,430000000000.0,7.0,14
IRELAND-2021,IRELAND,2021,317444608641.0,320000000000.0,6.0,14
ISLEOFMAN-2018,ISLE OF MAN,2018,7491969313.0,10000000000.0,2.0,15
ISLEOFMAN-2019,ISLE OF MAN,2019,,,,15
ISLEOFMAN-2020,ISLE OF MAN,2020,,,,15
ISLEOFMAN-2021,ISLE OF MAN,2021,7114834253.0,10000000000.0,1.0,15
ITALY-2018,ITALY,2018,2091117091124.0,2090000000000.0,8.0,16
ITALY-2019,ITALY,2019,2004913357800.0,2000000000000.0,8.0,16
ITALY-2020,ITALY,2020,1886445268341.0,1890000000000.0,8.0,16
ITALY-2021,ITALY,2021,2004294351927.0,2000000000000.0,8.0,16
LATVIA-2018,LATVIA,2018,34399206590.0,30000000000.0,4.0,17
LATVIA-2019,LATVIA,2019,34055464655.0,30000000000.0,4.0,17
LATVIA-2020,LATVIA,2020,33505185229.0,30000000000.0,4.0,17
LATVIA-2021,LATVIA,2021,30858471944.0,30000000000.0,4.0,17
LIECHTENSTEIN-2018,LIECHTENSTEIN,2018,6839145107.0,10000000000.0,1.0,18
LIECHTENSTEIN-2019,LIECHTENSTEIN,2019,,,,18
LIECHTENSTEIN-2020,LIECHTENSTEIN,2020,,,,18
LIECHTENSTEIN-2021,LIECHTENSTEIN,2021,6331996143.0,10000000000.0,1.0,18
LITHUANIA-2018,LITHUANIA,2018,53696648755.0,50000000000.0,4.0,19
LITHUANIA-2019,LITHUANIA,2019,54639938780.0,50000000000.0,4.0,19
LITHUANIA-2020,LITHUANIA,2020,55887271833.0,60000000000.0,4.0,19
LITHUANIA-2021,LITHUANIA,2021,48254013797.0,50000000000.0,4.0,19
LUXEMBOURG-2018,LUXEMBOURG,2018,70885325883.0,70000000000.0,5.0,20
LUXEMBOURG-2019,LUXEMBOURG,2019,71104919108.0,70000000000.0,5.0,20
LUXEMBOURG-2020,LUXEMBOURG,2020,73263982103.0,70000000000.0,5.0,20
LUXEMBOURG-2021,LUXEMBOURG,2021,64692749785.0,60000000000.0,5.0,20
MALTA-2018,MALTA,2018,14864712990.0,10000000000.0,3.0,21
MALTA-2019,MALTA,2019,15215714309.0,20000000000.0,3.0,21
MALTA-2020,MALTA,2020,14647384608.0,10000000000.0,3.0,21
MALTA-2021,MALTA,2021,12489138598.0,10000000000.0,2.0,21
THENETHERLANDS-2018,THE NETHERLANDS,2018,913597086063.0,910000000000.0,7.0,29
THENETHERLANDS-2019,THE NETHERLANDS,2019,910194347569.0,910000000000.0,7.0,29
THENETHERLANDS-2020,THE NETHERLANDS,2020,913865395790.0,910000000000.0,7.0,29
THENETHERLANDS-2021,THE NETHERLANDS,2021,858348449199.0,860000000000.0,7.0,29
NORWAY-2018,NORWAY,2018,436999692591.0,440000000000.0,7.0,22
NORWAY-2019,NORWAY,2019,405510000000.0,410000000000.0,6.0,22
NORWAY-2020,NORWAY,2020,362522347110.0,360000000000.0,6.0,22
NORWAY-2021,NORWAY,2021,432081398579.0,430000000000.0,7.0,22
POLAND-2018,POLAND,2018,587408980272.0,590000000000.0,7.0,23
POLAND-2019,POLAND,2019,595862086928.0,600000000000.0,7.0,23
POLAND-2020,POLAND,2020,594164690895.0,590000000000.0,7.0,23
POLAND-2021,POLAND,2021,535155982022.0,540000000000.0,7.0,23
PORTUGAL-2018,PORTUGAL,2018,242194788534.0,240000000000.0,6.0,24
PORTUGAL-2019,PORTUGAL,2019,239510770948.0,240000000000.0,6.0,24
PORTUGAL-2020,PORTUGAL,2020,231226743398.0,230000000000.0,6.0,24
PORTUGAL-2021,PORTUGAL,2021,223505068023.0,220000000000.0,6.0,24
ROMANIA-2018,ROMANIA,2018,241457403085.0,240000000000.0,6.0,25
ROMANIA-2019,ROMANIA,2019,249696854574.0,250000000000.0,6.0,25
ROMANIA-2020,ROMANIA,2020,248715551367.0,250000000000.0,6.0,25
ROMANIA-2021,ROMANIA,2021,208757752879.0,210000000000.0,6.0,25
SLOVAKIA-2018,SLOVAKIA,2018,105474651207.0,110000000000.0,5.0,26
SLOVAKIA-2019,SLOVAKIA,2019,105119160234.0,110000000000.0,5.0,26
SLOVAKIA-2020,SLOVAKIA,2020,104574146248.0,100000000000.0,5.0,26
SLOVAKIA-2021,SLOVAKIA,2021,98119257928.0,100000000000.0,5.0,26
SPAIN-2018,SPAIN,2018,1420300232664.0,1420000000000.0,8.0,27
SPAIN-2019,SPAIN,2019,1393046093137.0,1390000000000.0,8.0,27
SPAIN-2020,SPAIN,2020,1281484640044.0,1280000000000.0,7.0,27
SPAIN-2021,SPAIN,2021,1320033318744.0,1320000000000.0,8.0,27
SWEDEN-2018,SWEDEN,2018,555455371487.0,560000000000.0,7.0,28
SWEDEN-2019,SWEDEN,2019,533879529188.0,530000000000.0,7.0,28
SWEDEN-2020,SWEDEN,2020,541063604340.0,540000000000.0,7.0,28
SWEDEN-2021,SWEDEN,2021,545940585991.0,550000000000.0,7.0,28
UNITEDKINGDOM-2018,UNITED KINGDOM,2018,2857316524863.0,2860000000000.0,8.0,30
UNITEDKINGDOM-2019,UNITED KINGDOM,2019,2830813507747.0,2830000000000.0,8.0,30
UNITEDKINGDOM-2020,UNITED KINGDOM,2020,2707743777174.0,2710000000000.0,8.0,30
UNITEDKINGDOM-2021,UNITED KINGDOM,2021,2804131075095.0,2800000000000.0,8.0,30
