mapping_key,country,year,population,population_cat,population_cat2,country_label
AUSTRIA-2018,AUSTRIA,2018,8891388,8900000,5.0,0
AUSTRIA-2019,AUSTRIA,2019,8955102,9000000,5.0,0
AUSTRIA-2020,AUSTRIA,2020,9006398,9000000,5.0,0
AUSTRIA-2021,AUSTRIA,2021,9073420,9100000,5.0,0
BELGIUM-2018,BELGIUM,2018,11482178,11500000,7.0,1
BELGIUM-2019,BELGIUM,2019,11539328,11500000,7.0,1
BELGIUM-2020,BELGIUM,2020,11589623,11600000,7.0,1
BELGIUM-2021,BELGIUM,2021,11650922,11700000,7.0,1
BULGARIA-2018,BULGARIA,2018,7051608,7100000,5.0,2
BULGARIA-2019,BULGARIA,2019,7000119,7000000,5.0,2
BULGARIA-2020,BULGARIA,2020,6948445,6900000,4.0,2
BULGARIA-2021,BULGARIA,2021,6899248,6900000,4.0,2
CROATIA-2018,CROATIA,2018,4156405,4200000,3.0,3
CROATIA-2019,CROATIA,2019,4130304,4100000,3.0,3
CROATIA-2020,CROATIA,2020,4105267,4100000,3.0,3
CROATIA-2021,CROATIA,2021,4080211,4100000,2.0,3
CYPRUS-2018,CYPRUS,2018,1189265,1200000,1.0,4
CYPRUS-2019,CYPRUS,2019,1198575,1200000,1.0,4
CYPRUS-2020,CYPRUS,2020,1207359,1200000,1.0,4
CYPRUS-2021,CYPRUS,2021,1216853,1200000,1.0,4
CZECHREPUBLIC-2018,CZECH REPUBLIC,2018,10665677,10700000,6.0,5
CZECHREPUBLIC-2019,CZECH REPUBLIC,2019,10689209,10700000,6.0,5
CZECHREPUBLIC-2020,CZECH REPUBLIC,2020,10708981,10700000,6.0,5
CZECHREPUBLIC-2021,CZECH REPUBLIC,2021,10730628,10700000,7.0,5
DENMARK-2018,DENMARK,2018,5752126,5800000,4.0,6
DENMARK-2019,DENMARK,2019,5771876,5800000,4.0,6
DENMARK-2020,DENMARK,2020,5792202,5800000,4.0,6
DENMARK-2021,DENMARK,2021,5813128,5800000,4.0,6
ESTONIA-2018,ESTONIA,2018,1322920,1300000,1.0,7
ESTONIA-2019,ESTONIA,2019,1325648,1300000,2.0,7
ESTONIA-2020,ESTONIA,2020,1326535,1300000,2.0,7
ESTONIA-2021,ESTONIA,2021,1328788,1300000,2.0,7
FINLAND-2018,FINLAND,2018,5522576,5500000,4.0,8
FINLAND-2019,FINLAND,2019,5532156,5500000,4.0,8
FINLAND-2020,FINLAND,2020,5540720,5500000,4.0,8
FINLAND-2021,FINLAND,2021,5552717,5600000,4.0,8
FRANCE-2018,FRANCE,2018,64990511,65000000,9.0,9
FRANCE-2019,FRANCE,2019,65129728,65100000,9.0,9
FRANCE-2020,FRANCE,2020,65273511,65300000,9.0,9
FRANCE-2021,FRANCE,2021,65438828,65400000,9.0,9
GERMANY-2018,GERMANY,2018,83124418,83100000,9.0,10
GERMANY-2019,GERMANY,2019,83517045,83500000,9.0,10
GERMANY-2020,GERMANY,2020,83783942,83800000,9.0,10
GERMANY-2021,GERMANY,2021,84189092,84200000,9.0,10
GREECE-2018,GREECE,2018,10522246,10500000,6.0,11
GREECE-2019,GREECE,2019,10473455,10500000,6.0,11
GREECE-2020,GREECE,2020,10423054,10400000,6.0,11
GREECE-2021,GREECE,2021,10376349,10400000,6.0,11
HUNGARY-2018,HUNGARY,2018,9707499,9700000,5.0,12
HUNGARY-2019,HUNGARY,2019,9684679,9700000,5.0,12
HUNGARY-2020,HUNGARY,2020,9660351,9700000,5.0,12
HUNGARY-2021,HUNGARY,2021,9637006,9600000,5.0,12
ICELAND-2018,ICELAND,2018,336713,300000,0.0,13
ICELAND-2019,ICELAND,2019,339031,300000,0.0,13
ICELAND-2020,ICELAND,2020,341243,300000,0.0,13
ICELAND-2021,ICELAND,2021,343486,300000,0.0,13
IRELAND-2018,IRELAND,2018,4818690,4800000,3.0,14
IRELAND-2019,IRELAND,2019,4882495,4900000,3.0,14
IRELAND-2020,IRELAND,2020,4937786,4900000,3.0,14
IRELAND-2021,IRELAND,2021,4996931,5000000,3.0,14
ISLEOFMAN-2018,ISLE OF MAN,2018,84077,100000,0.0,15
ISLEOFMAN-2019,ISLE OF MAN,2019,84584,100000,0.0,15
ISLEOFMAN-2020,ISLE OF MAN,2020,85033,100000,0.0,15
ISLEOFMAN-2021,ISLE OF MAN,2021,85397,100000,0.0,15
ITALY-2018,ITALY,2018,60627291,60600000,9.0,16
ITALY-2019,ITALY,2019,60550075,60600000,8.0,16
ITALY-2020,ITALY,2020,60461826,60500000,8.0,16
ITALY-2021,ITALY,2021,60438553,60400000,8.0,16
LATVIA-2018,LATVIA,2018,1928459,1900000,2.0,17
LATVIA-2019,LATVIA,2019,1906743,1900000,2.0,17
LATVIA-2020,LATVIA,2020,1886198,1900000,2.0,17
LATVIA-2021,LATVIA,2021,1864660,1900000,2.0,17
LIECHTENSTEIN-2018,LIECHTENSTEIN,2018,37910,0,0.0,18
LIECHTENSTEIN-2019,LIECHTENSTEIN,2019,38019,0,0.0,18
LIECHTENSTEIN-2020,LIECHTENSTEIN,2020,38128,0,0.0,18
LIECHTENSTEIN-2021,LIECHTENSTEIN,2021,38260,0,0.0,18
LITHUANIA-2018,LITHUANIA,2018,2801264,2800000,2.0,19
LITHUANIA-2019,LITHUANIA,2019,2759627,2800000,2.0,19
LITHUANIA-2020,LITHUANIA,2020,2722289,2700000,2.0,19
LITHUANIA-2021,LITHUANIA,2021,2682204,2700000,2.0,19
LUXEMBOURG-2018,LUXEMBOURG,2018,604245,600000,1.0,20
LUXEMBOURG-2019,LUXEMBOURG,2019,615729,600000,1.0,20
LUXEMBOURG-2020,LUXEMBOURG,2020,625978,600000,1.0,20
LUXEMBOURG-2021,LUXEMBOURG,2021,638549,600000,1.0,20
MALTA-2018,MALTA,2018,439248,400000,0.0,21
MALTA-2019,MALTA,2019,440372,400000,1.0,21
MALTA-2020,MALTA,2020,441543,400000,1.0,21
MALTA-2021,MALTA,2021,443157,400000,1.0,21
NORWAY-2018,NORWAY,2018,5337962,5300000,3.0,22
NORWAY-2019,NORWAY,2019,5378857,5400000,3.0,22
NORWAY-2020,NORWAY,2020,5421241,5400000,3.0,22
NORWAY-2021,NORWAY,2021,5466642,5500000,4.0,22
POLAND-2018,POLAND,2018,37921592,37900000,8.0,23
POLAND-2019,POLAND,2019,37887768,37900000,8.0,23
POLAND-2020,POLAND,2020,37846611,37800000,8.0,23
POLAND-2021,POLAND,2021,37809228,37800000,8.0,23
PORTUGAL-2018,PORTUGAL,2018,10256193,10300000,6.0,24
PORTUGAL-2019,PORTUGAL,2019,10226187,10200000,6.0,24
PORTUGAL-2020,PORTUGAL,2020,10196709,10200000,6.0,24
PORTUGAL-2021,PORTUGAL,2021,10162724,10200000,6.0,24
ROMANIA-2018,ROMANIA,2018,19506114,19500000,8.0,25
ROMANIA-2019,ROMANIA,2019,19364557,19400000,7.0,25
ROMANIA-2020,ROMANIA,2020,19237691,19200000,7.0,25
ROMANIA-2021,ROMANIA,2021,19103068,19100000,7.0,25
SLOVAKIA-2018,SLOVAKIA,2018,5453014,5500000,3.0,26
SLOVAKIA-2019,SLOVAKIA,2019,5457013,5500000,3.0,26
SLOVAKIA-2020,SLOVAKIA,2020,5459642,5500000,3.0,26
SLOVAKIA-2021,SLOVAKIA,2021,5464461,5500000,4.0,26
SPAIN-2018,SPAIN,2018,46692858,46700000,8.0,27
SPAIN-2019,SPAIN,2019,46736776,46700000,8.0,27
SPAIN-2020,SPAIN,2020,46754778,46800000,8.0,27
SPAIN-2021,SPAIN,2021,46771375,46800000,8.0,27
SWEDEN-2018,SWEDEN,2018,9971638,10000000,5.0,28
SWEDEN-2019,SWEDEN,2019,10036379,10000000,5.0,28
SWEDEN-2020,SWEDEN,2020,10099265,10100000,6.0,28
SWEDEN-2021,SWEDEN,2021,10167489,10200000,6.0,28
THENETHERLANDS-2018,THE NETHERLANDS,2018,17059560,17100000,7.0,29
THENETHERLANDS-2019,THE NETHERLANDS,2019,17097130,17100000,7.0,29
THENETHERLANDS-2020,THE NETHERLANDS,2020,17134872,17100000,7.0,29
THENETHERLANDS-2021,THE NETHERLANDS,2021,17174419,17200000,7.0,29
UNITEDKINGDOM-2018,UNITED KINGDOM,2018,67141684,67100000,9.0,30
UNITEDKINGDOM-2019,UNITED KINGDOM,2019,67530172,67500000,9.0,30
UNITEDKINGDOM-2020,UNITED KINGDOM,2020,67886011,67900000,9.0,30
UNITEDKINGDOM-2021,UNITED KINGDOM,2021,68298609,68300000,9.0,30
